SITE_ID,STREET,DATE_PARSED,BICYCLE_DETECTIONS
9077,Albert Street,2021-06-14,393
9077,Albert Street,2021-06-15,628
9077,Albert Street,2021-06-16,455
9077,Albert Street,2021-06-17,669
9077,Albert Street,2021-06-18,414
9077,Albert Street,2021-06-19,364
9077,Albert Street,2021-06-20,382
9077,Albert Street,2021-06-21,600
9077,Albert Street,2021-06-22,749
9077,Albert Street,2021-06-23,595
9077,Albert Street,2021-06-24,685
9077,Albert Street,2021-06-25,407
9077,Albert Street,2021-06-26,367
9077,Albert Street,2021-06-27,334
9077,Albert Street,2021-06-28,650
9077,Albert Street,2021-06-29,801
9077,Albert Street,2021-06-30,818
9077,Albert Street,2021-07-01,844
9077,Albert Street,2021-07-02,549
9077,Albert Street,2021-07-03,339
9077,Albert Street,2021-07-04,218
9077,Albert Street,2021-07-05,571
9077,Albert Street,2021-07-06,778
